ID_Alumno,Nombre_Apellido,Edad,Genero,Comision,Turno,Entregas_Previas,Entregas_A_Tiempo,Total_Actividades_Previas,Promedio_Previo,Indice_Constancia,Nota_Parcial,Estado_Final,Nota Final,Estado,Comisión
A00112,Lucia Acosta,32,F,B2,Tarde,7,4,7,6.8999999999999995,57.14,7.8,Aprobado,7.8,Aprobado,B2
A00113,Manuel Flores,21,M,B2,Tarde,7,6,7,7.928571428571429,85.71,,Ausente,,Ausente,B2
A00114,Sofia Flores,20,X,B1,Tarde,6,5,7,6.8500000000000005,71.43,8.6,Aprobado,8.6,Aprobado,B1
A00115,Olivia Acosta,17,M,C1,Noche,7,6,7,7.042857142857143,85.71,5.8,Recupera,5.8,Recupera,C1
A00116,Bruno Rojas,17,X,B1,Tarde,7,7,7,7.142857142857143,100.0,7.0,Aprobado,7.0,Aprobado,B1
A00117,Julieta Fernandez,20,F,B2,Tarde,5,5,7,6.840000000000001,71.43,7.0,Aprobado,7.0,Aprobado,B2
A00118,Federico Aguirre,25,M,C2,Noche,6,4,7,7.216666666666666,57.14,6.8,Aprobado,6.8,Aprobado,C2
A00119,Tomas Vega,21,F,B2,Tarde,3,3,7,6.766666666666667,42.86,,Ausente,,Ausente,B2
A00120,Mateo Ruiz,25,F,B2,Tarde,7,7,7,8.6,100.0,9.2,Aprobado,9.2,Aprobado,B2
A00121,Lucia Ramirez,24,F,A3,Mañana,5,4,7,7.06,57.14,7.1,Aprobado,7.1,Aprobado,A3
A00122,Santino Rojas,23,F,C3,Noche,7,6,7,7.0857142857142845,85.71,,Ausente,,Ausente,C3
A00123,Maximo Vega,25,M,B2,Tarde,3,3,7,5.1000000000000005,42.86,3.4,Desaprobado,3.4,Desaprobado,B2
A00124,Felipe Rojas,24,M,B2,Tarde,6,3,7,5.416666666666667,42.86,8.0,Aprobado,8.0,Aprobado,B2
A00125,Diego Acosta,17,F,C1,Noche,5,5,7,5.64,71.43,7.8,Aprobado,7.8,Aprobado,C1
A00126,Victoria Herrera,21,F,C4,Noche,5,2,7,4.42,28.57,,Ausente,,Ausente,C4
A00127,Mora Rodriguez,21,M,A1,Mañana,0,0,7,,0.0,,Ausente,,Ausente,A1
A00128,Nicolas Cabrera,25,M,C2,Noche,3,1,7,6.466666666666666,14.29,,Ausente,,Ausente,C2
A00129,Martina Ramirez,25,F,A1,Mañana,5,4,7,6.76,57.14,5.7,Recupera,5.7,Recupera,A1
A00130,Benjamin Rojas,31,M,C1,Noche,6,4,7,6.3,57.14,,Ausente,,Ausente,C1
A00131,Felipe Luna,28,F,C3,Noche,2,0,7,4.2,0.0,,Ausente,,Ausente,C3
A00132,Pilar Flores,21,F,B2,Tarde,6,5,7,7.533333333333334,71.43,,Ausente,,Ausente,B2
A00133,Thiago Cabrera,24,M,C4,Noche,5,5,7,6.42,71.43,6.9,Aprobado,6.9,Aprobado,C4
A00134,Santino Romero,24,F,A1,Mañana,0,0,7,,0.0,,Ausente,,Ausente,A1
A00135,Lucas Aguirre,19,F,B1,Tarde,7,5,7,6.542857142857143,71.43,6.1,Aprobado,6.1,Aprobado,B1
A00136,Lautaro Ramirez,24,F,B1,Tarde,6,5,7,5.3,71.43,,Ausente,,Ausente,B1
A00137,Gabriel Lopez,17,F,A2,Mañana,5,4,7,4.9,57.14,,Ausente,,Ausente,A2
A00138,Joaquin Ortiz,29,F,C1,Noche,1,0,7,6.8,0.0,,Ausente,,Ausente,C1
A00139,Thiago Castro,28,M,A3,Mañana,6,6,7,6.616666666666667,85.71,,Ausente,,Ausente,A3
A00140,Felipe Acosta,18,M,A1,Mañana,4,3,7,7.875,42.86,8.5,Aprobado,8.5,Aprobado,A1
A00141,Camila Ramirez,22,M,C1,Noche,7,7,7,9.085714285714285,100.0,10.0,Aprobado,10.0,Aprobado,C1
A00142,Pilar Medina,19,M,A1,Mañana,3,2,7,4.433333333333333,28.57,,Ausente,,Ausente,A1
A00143,Manuel Martinez,20,F,C2,Noche,6,3,7,6.716666666666666,42.86,4.6,Recupera,4.6,Recupera,C2
A00144,Tomas Acosta,23,M,A1,Mañana,4,3,7,6.05,42.86,,Ausente,,Ausente,A1
A00145,Maximo Sanchez,24,F,C4,Noche,5,5,7,7.06,71.43,6.0,Aprobado,6.0,Aprobado,C4
A00146,Camila Gonzalez,17,F,B2,Tarde,7,7,7,8.4,100.0,10.0,Aprobado,10.0,Aprobado,B2
A00147,Valentina Benitez,31,F,B1,Tarde,7,5,7,7.228571428571429,71.43,7.8,Aprobado,7.8,Aprobado,B1
A00148,Julieta Romero,27,F,B2,Tarde,7,6,7,7.757142857142857,85.71,,Ausente,,Ausente,B2
A00149,Tomas Garcia,30,F,B2,Tarde,6,6,7,7.583333333333333,85.71,6.3,Aprobado,6.3,Aprobado,B2
A00150,Florencia Sosa,17,F,A2,Mañana,6,5,7,6.3999999999999995,71.43,,Ausente,,Ausente,A2
A00151,Guadalupe Vega,17,F,B1,Tarde,7,5,7,5.628571428571428,71.43,5.5,Recupera,5.5,Recupera,B1
A00152,Maximo Flores,25,M,C4,Noche,7,5,7,7.871428571428572,71.43,,Ausente,,Ausente,C4
A00153,Isabella Martinez,22,F,C4,Noche,7,4,7,4.785714285714286,57.14,3.8,Desaprobado,3.8,Desaprobado,C4
A00154,Maximo Torres,19,M,A2,Mañana,6,6,7,8.299999999999999,85.71,8.2,Aprobado,8.2,Aprobado,A2
A00155,Renata Ramirez,23,F,A2,Mañana,7,5,7,7.185714285714285,71.43,5.4,Recupera,5.4,Recupera,A2
A00156,Isabella Martinez,22,M,B1,Tarde,7,6,7,7.228571428571429,85.71,6.7,Aprobado,6.7,Aprobado,B1
A00157,Pilar Garcia,23,F,A3,Mañana,6,3,7,7.583333333333333,42.86,6.4,Aprobado,6.4,Aprobado,A3
A00158,Nicolas Torres,26,M,C2,Noche,7,6,7,7.214285714285714,85.71,8.4,Aprobado,8.4,Aprobado,C2
A00159,Catalina Alvarez,17,F,A3,Mañana,7,7,7,7.314285714285715,100.0,6.2,Aprobado,6.2,Aprobado,A3
A00160,Maximo Rodriguez,17,M,A2,Mañana,7,7,7,6.785714285714286,100.0,5.8,Recupera,5.8,Recupera,A2
A00161,Manuel Nuñez,21,F,C3,Noche,5,3,7,6.5,42.86,7.4,Aprobado,7.4,Aprobado,C3
A00162,Mateo Benitez,17,F,C2,Noche,5,4,7,5.18,57.14,,Ausente,,Ausente,C2
A00163,Isabella Nuñez,22,M,C4,Noche,2,1,7,3.9000000000000004,14.29,,Ausente,,Ausente,C4
A00164,Felipe Medina,25,F,C1,Noche,0,0,7,,0.0,,Ausente,,Ausente,C1
A00165,Isabella Castro,18,F,B2,Tarde,5,3,7,7.18,42.86,7.5,Aprobado,7.5,Aprobado,B2
A00166,Camila Vega,18,M,C1,Noche,0,0,7,,0.0,,Ausente,,Ausente,C1
A00167,Olivia Romero,28,M,A3,Mañana,6,6,7,7.633333333333333,85.71,6.8,Aprobado,6.8,Aprobado,A3
A00168,Lucas Perez,17,M,B1,Tarde,6,6,7,7.266666666666667,85.71,7.9,Aprobado,7.9,Aprobado,B1
A00169,Florencia Ortiz,24,F,C1,Noche,4,1,7,4.75,14.29,6.0,Aprobado,6.0,Aprobado,C1
A00170,Valentino Sanchez,24,F,B2,Tarde,7,7,7,8.571428571428571,100.0,6.5,Aprobado,6.5,Aprobado,B2
A00171,Manuel Rojas,18,F,C2,Noche,0,0,7,,0.0,,Ausente,,Ausente,C2
A00172,Agustin Sanchez,23,M,C3,Noche,6,5,7,7.316666666666666,71.43,7.4,Aprobado,7.4,Aprobado,C3
A00173,Florencia Suarez,17,F,B2,Tarde,7,5,7,6.685714285714285,71.43,7.5,Aprobado,7.5,Aprobado,B2
A00174,Federico Silva,18,M,C1,Noche,6,5,7,5.466666666666666,71.43,8.5,Aprobado,8.5,Aprobado,C1
A00175,Gabriel Castro,33,F,A2,Mañana,5,2,7,5.0200000000000005,28.57,,Ausente,,Ausente,A2
A00176,Benjamin Castro,17,F,A1,Mañana,7,7,7,8.6,100.0,8.9,Aprobado,8.9,Aprobado,A1
A00177,Tomas Martinez,22,F,C3,Noche,6,5,7,6.866666666666667,71.43,7.4,Aprobado,7.4,Aprobado,C3
A00178,Ignacio Suarez,18,M,B1,Tarde,7,6,7,7.728571428571429,85.71,9.0,Aprobado,9.0,Aprobado,B1
A00179,Lucas Rodriguez,20,M,A3,Mañana,4,3,7,6.15,42.86,8.4,Aprobado,8.4,Aprobado,A3
A00180,Lautaro Martinez,19,F,B1,Tarde,6,4,7,7.016666666666667,57.14,8.1,Aprobado,8.1,Aprobado,B1
A00181,Manuel Ortiz,22,F,B1,Tarde,2,1,7,7.6499999999999995,14.29,,Ausente,,Ausente,B1
A00182,Lucia Silva,19,F,A1,Mañana,7,6,7,8.242857142857144,85.71,7.7,Aprobado,7.7,Aprobado,A1
A00183,Thiago Ruiz,22,M,A3,Mañana,2,1,7,4.449999999999999,14.29,,Ausente,,Ausente,A3
A00184,Florencia Diaz,20,F,A3,Mañana,5,5,7,7.140000000000001,71.43,,Ausente,,Ausente,A3
A00185,Renata Romero,26,M,B1,Tarde,7,7,7,8.514285714285714,100.0,6.9,Aprobado,6.9,Aprobado,B1
A00186,Florencia Benitez,28,F,A1,Mañana,4,3,7,4.875,42.86,,Ausente,,Ausente,A1
A00187,Valentina Medina,29,F,A1,Mañana,3,0,7,4.333333333333333,0.0,,Ausente,,Ausente,A1
A00188,Pilar Flores,29,F,C4,Noche,4,1,7,7.05,14.29,,Ausente,,Ausente,C4
A00189,Felipe Ruiz,23,M,B1,Tarde,4,1,7,5.55,14.29,,Ausente,,Ausente,B1
A00190,Bruno Benitez,18,F,B2,Tarde,0,0,7,,0.0,,Ausente,,Ausente,B2
A00191,Antonella Silva,24,M,A3,Mañana,6,5,7,6.766666666666667,71.43,5.1,Recupera,5.1,Recupera,A3
A00192,Emma Sanchez,17,F,C1,Noche,2,2,7,5.5,28.57,,Ausente,,Ausente,C1
A00193,Victoria Sosa,17,F,A1,Mañana,3,2,7,6.933333333333334,28.57,,Ausente,,Ausente,A1
A00194,Agustin Garcia,22,M,A3,Mañana,4,4,7,8.15,57.14,6.3,Aprobado,6.3,Aprobado,A3
A00195,Joaquin Nuñez,23,F,C3,Noche,5,3,7,6.619999999999999,42.86,7.2,Aprobado,7.2,Aprobado,C3
A00196,Manuel Martinez,25,F,A3,Mañana,5,5,7,6.0200000000000005,71.43,5.0,Recupera,5.0,Recupera,A3
A00197,Valentina Ramirez,23,M,A1,Mañana,7,7,7,6.942857142857143,100.0,5.3,Recupera,5.3,Recupera,A1
A00198,Nicolas Benitez,17,F,C2,Noche,7,7,7,6.642857142857143,100.0,5.9,Recupera,5.9,Recupera,C2
A00199,Nicolas Ortiz,18,F,B2,Tarde,6,2,7,4.933333333333334,28.57,2.2,Desaprobado,2.2,Desaprobado,B2
A00200,Federico Molina,17,F,C4,Noche,7,7,7,8.657142857142857,100.0,7.8,Aprobado,7.8,Aprobado,C4
A00201,Olivia Suarez,21,M,B2,Tarde,7,6,7,6.585714285714286,85.71,8.4,Aprobado,8.4,Aprobado,B2
A00202,Delfina Sanchez,29,F,C1,Noche,0,0,7,,0.0,,Ausente,,Ausente,C1
A00203,Gabriel Molina,20,F,B2,Tarde,3,2,7,4.233333333333333,28.57,,Ausente,,Ausente,B2
A00204,Maximo Vega,17,F,A1,Mañana,7,6,7,7.3,85.71,,Ausente,,Ausente,A1
A00205,Benjamin Torres,19,F,C4,Noche,4,1,7,4.775,14.29,5.8,Recupera,5.8,Recupera,C4
A00206,Bautista Medina,17,M,B2,Tarde,5,4,7,5.74,57.14,,Ausente,,Ausente,B2
A00207,Florencia Torres,31,F,C4,Noche,1,1,7,2.9,14.29,,Ausente,,Ausente,C4
A00208,Thiago Sosa,23,M,B2,Tarde,2,0,7,3.2,0.0,,Ausente,,Ausente,B2
A00209,Sofia Nuñez,25,F,A3,Mañana,5,5,7,7.4799999999999995,71.43,7.1,Aprobado,7.1,Aprobado,A3
A00210,Camila Acosta,30,M,A2,Mañana,5,3,7,6.0600000000000005,42.86,,Ausente,,Ausente,A2
A00211,Valentina Garcia,21,F,A1,Mañana,5,3,7,4.76,42.86,,Ausente,,Ausente,A1
A00212,Diego Sanchez,27,F,C3,Noche,6,6,7,8.183333333333334,85.71,7.7,Aprobado,7.7,Aprobado,C3
A00213,Bautista Acosta,35,M,C3,Noche,7,6,7,6.214285714285714,85.71,6.3,Aprobado,6.3,Aprobado,C3
A00214,Mia Silva,27,M,C4,Noche,5,5,7,7.159999999999999,71.43,4.9,Recupera,4.9,Recupera,C4
A00215,Mateo Castro,17,F,C2,Noche,7,7,7,6.785714285714286,100.0,7.6,Aprobado,7.6,Aprobado,C2
A00216,Bautista Lopez,23,F,A3,Mañana,7,6,7,6.642857142857143,85.71,7.3,Aprobado,7.3,Aprobado,A3
A00217,Mora Ramirez,27,M,C1,Noche,6,5,7,5.516666666666667,71.43,5.9,Recupera,5.9,Recupera,C1
A00218,Manuel Lopez,27,F,B2,Tarde,7,6,7,6.085714285714286,85.71,5.0,Recupera,5.0,Recupera,B2
A00219,Joaquin Nuñez,20,M,C4,Noche,5,3,7,5.279999999999999,42.86,,Ausente,,Ausente,C4
A00220,Antonella Garcia,22,F,C3,Noche,5,4,7,7.1,57.14,,Ausente,,Ausente,C3
A00221,Antonella Acosta,32,F,B2,Tarde,7,6,7,8.557142857142857,85.71,9.8,Aprobado,9.8,Aprobado,B2
A00222,Lautaro Fernandez,18,F,C3,Noche,6,5,7,5.183333333333334,71.43,6.3,Aprobado,6.3,Aprobado,C3
A00223,Gabriel Torres,19,M,A3,Mañana,7,6,7,6.585714285714286,85.71,5.4,Recupera,5.4,Recupera,A3
A00224,Paula Sosa,23,M,A2,Mañana,5,5,7,4.96,71.43,,Ausente,,Ausente,A2
A00225,Valentino Sanchez,20,M,C1,Noche,5,3,7,5.0600000000000005,42.86,,Ausente,,Ausente,C1
A00226,Delfina Romero,19,F,A2,Mañana,1,1,7,5.8,14.29,,Ausente,,Ausente,A2
A00227,Joaquin Alvarez,25,M,C1,Noche,5,5,7,4.88,71.43,4.9,Recupera,4.9,Recupera,C1
A00228,Joaquin Lopez,25,M,A1,Mañana,4,3,7,4.4,42.86,,Ausente,,Ausente,A1
