ID_Alumno,Nombre_Apellido,Edad,Genero,Email,Comision,Turno,Fecha_Inscripcion,Actividad,Tipo_Actividad,Fecha_Limite,Fecha_Entrega,Nota,Estado_Entrega
A00321,Benjamin Aguirre,17,Masculino,benjamin.aguirre321@alumnos.tup.edu.ar,C3,Noche,2026-03-09,Quiz_01,Quiz,2026-03-30,26/03/2026,7.8,a tiempo
A00509,Catalina Diaz,17,F,catalina.diaz509@alumnos.tup.edu.ar,A3,Mañana,2026-02-19,TP_04,TP,08/06/2026,2026-06-07,8.1,A TIEMPO
A00181,Manuel Ortiz,22,F,manuel.ortiz181@alumnos.tup.edu.ar,B1,Tarde,2026-03-08,Quiz_03,Quiz,2026-05-25,,,No entrego
A00424,Olivia Aguirre,22,Femenino,olivia.aguirre424@alumnos.tup.edu.ar,C4,Noche,2026-02-24,TP_02,TP,13/04/2026,,,
A00600,Valentino Suarez,37,M,valentino.suarez600@alumnos.tup.edu.ar,B1,Tarde,2026-03-10,Parcial_01,Parcial,2026-06-22,2026-06-21,4.9,A tiempo
A00408,Benjamin Silva,25,M,,B2,Tarde,10/03/2026,Quiz_03,Quiz,2026-05-25,2026-05-24,8.0,a tiempo
A00620,Benjamin Molina,20,M,benjamin.molina620@alumnos.tup.edu.ar,A2,Mañana,2026-02-16,Quiz_03,Quiz,25/05/2026,2026-05-21,7.4,A tiempo
A00035,Valentino Medina,20,F,valentino.medina35@alumnos.tup.edu.ar,B1,Tarde,2026-03-04,TP_03,TP,2026-05-11,,,no entregó
A00174,Federico Silva,18,Masculino,federico.silva174@alumnos.tup.edu.ar, c1 ,Noche,2026-03-08,TP_02,TP,2026-04-13,2026-04-10,6.1,A TIEMPO
A00194,Agustin Garcia,22,Masculino,agustin.garcia194@alumnos.tup.edu.ar,A3,Mañana,2026-02-23,TP_03,TP,2026-05-11,2026-05-06,8.9,A tiempo
A00301,Sofia Benitez,23,Masculino,sofia.benitez301@alumnos.tup.edu.ar,C1,Noche,09-03-2026,TP_01,TP,2026-03-16,2026-03-28,7.6,Tarde
A00063,Florencia Romero,24,F,florencia.romero63@alumnos.tup.edu.ar,C3,Noche,05/03/2026,Quiz_02,Quiz,27/04/2026,2026-04-26,7.5,A tiempo
A00291,Sofia Garcia,25,F,sofia.garcia291@alumnos.tup.edu.ar,C4,Noche,28-02-2026,Parcial_01,Parcial,2026-06-22,,,NO ENTREGO
A00479,Manuel Medina,27,Masculino,manuel.medina479@alumnos.tup.edu.ar,A2,Mañana,2026-03-07,Parcial_01,Parcial,2026-06-22,2026-06-19,7.6,A TIEMPO
A00184,Florencia Diaz,20,F,florencia.diaz184@alumnos.tup.edu.ar,A3,Mañana,2026-03-10,Quiz_03,Quiz,25/05/2026,,,
A00461,Federico Sanchez,22,Masculino,federico.sanchez461@alumnos.tup.edu.ar,C2,Noche,08-03-2026,Quiz_01,Quiz,2026-03-30,2026-04-10,6.6,TARDE
A00682,Gabriel Ortiz,17,Masculino,gabriel.ortiz682@alumnos.tup.edu.ar,A3,Mañana,2026-03-04,TP_01,TP,2026-03-16,2026-03-16,3.0,A TIEMPO
A00305,Renata Sosa,17,M,renata.sosa305@alumnos.tup.edu.ar,C3,Noche,2026-03-04,Quiz_02,Quiz,2026-04-27,2026-04-23,4.4,A tiempo
A00098,Maximo Castro,25,F,maximo.castro98@alumnos.tup.edu.ar,A3,Mañana,16-02-2026,TP_01,TP,2026-03-16,2026-03-15,"7,3",a tiempo
A00114,Sofia Flores,20,X,sofia.flores114@alumnos.tup.edu.ar,B1,Tarde,2026-02-27,TP_04,TP,2026-06-08,2026-06-18,7.0,TARDE
A00241,Nicolas Ruiz,17,Masculino,nicolas.ruiz241@alumnos.tup.edu.ar, c1 ,Noche,06-03-2026,TP_04,TP,2026-06-08,2026-06-06,6.6,A tiempo
A00343,Lucia Ramirez,18,M,lucia.ramirez343@alumnos.tup.edu.ar,B2,Tarde,2026-03-03,TP_02,TP,2026-04-13,,,No entrego
A00264,Antonella Molina,17,F,antonella.molina264@alumnos.tup.edu.ar,B1,Tarde,2026-03-03,TP_01,TP,2026-03-16,2026-03-12,5.8,A tiempo
A00164,Felipe Medina,25,F,felipe.medina164@alumnos.tup.edu.ar,C1,Noche,2026-03-08,TP_02,TP,13-04-2026,,,
A00120,Mateo Ruiz,25,F,mateo.ruiz120@alumnos.tup.edu.ar,B2,Tarde,2026-03-05,TP_01,TP,2026-03-16,15-03-2026,8.3,A TIEMPO
A00124,Felipe Rojas,24,M,felipe.rojas124@alumnos.tup.edu.ar,B2,Tarde,21/02/2026,Quiz_03,Quiz,25-05-2026,2026-05-28,"4,4",TARDE
A00457,Antonella Ruiz,20,X,antonella.ruiz457@alumnos.tup.edu.ar,B2,TARDE,2026-03-03,TP_03,TP,11-05-2026,2026-05-17,4.6,tarde
A00492,Olivia Ramirez,17,Masculino,olivia.ramirez492@alumnos.tup.edu.ar,C4,Noche,2026-02-26,TP_01,TP,2026-03-16,2026-03-21,4.3,TARDE
A00607,  Bautista Suarez ,24,M,bautista.suarez607@alumnos.tup.edu.ar,B1,Tarde,2026-02-27,Quiz_02,Quiz,2026-04-27,2026-04-23,7.8,a tiempo
A00676,mora vega,17,F,mora.vega676@alumnos.tup.edu.ar,C2,Noche,02/03/2026,Parcial_01,Parcial,2026-06-22,,,No entrego
A00433,Agustin Lopez,17,F,agustin.lopez433@alumnos.tup.edu.ar,B2,Tarde,2026-03-01,Parcial_01,Parcial,2026-06-22,,,NO ENTREGO
A00163,Isabella Nuñez,22,M,isabella.nuñez163@alumnos.tup.edu.ar,C4,Noche,2026-02-24,Quiz_03,Quiz,25/05/2026,,,
A00103,Manuel Ramirez,20,Masculino,manuel.ramirez103@alumnos.tup.edu.ar,A1,Mañana,06/03/2026,TP_04,TP,2026-06-08,2026-06-07,8.8,A tiempo
A00030,Victoria Romero,17,M,victoria.romero30@alumnos.tup.edu.ar,B2,Tarde,2026-02-27,Quiz_01,Quiz,2026-03-30,2026-04-01,5.0,tarde
A00650,Pilar Garcia,17,M,pilar.garcia650@alumnos.tup.edu.ar, c3 ,Noche,18/02/2026,TP_04,TP,2026-06-08,2026-06-06,6.2,A TIEMPO
A00402,Mora Acosta,20,M,mora.acosta402@alumnos.tup.edu.ar,C1,Noche,04/03/2026,TP_02,TP,2026-04-13,2026-04-11,7.4,A tiempo
A00658,Martina Luna,22,F,martina.luna658@alumnos.tup.edu.ar,C3,Noche,05-03-2026,TP_03,TP,2026-05-11,07-05-2026,"6,9",A tiempo
A00520,Camila Torres,26,F,camila.torres520@alumnos.tup.edu.ar,C4,Noche,2026-03-10,Quiz_02,Quiz,2026-04-27,,,NO ENTREGO
A00060,Diego Luna,35,Femenino,diego.luna60@alumnos.tup.edu.ar,C3,Noche,2026-02-18,Parcial_01,Parcial,2026-06-22,02/07/2026,"3,9",TARDE
A00290,Julieta Suarez,18,M,julieta.suarez290@alumnos.tup.edu.ar,A1,Mañana,2026-02-24,TP_04,TP,2026-06-08,06/06/2026,7.7,A TIEMPO
A00699,Isabella Garcia,30,M,isabella.garcia699@alumnos.tup.edu.ar,C1,Noche,2026-02-18,Quiz_02,Quiz,2026-04-27,2026-04-22,5.7,A tiempo
A00691,Victoria Rojas,22,Masculino,victoria.rojas691@alumnos.tup.edu.ar,A2,Mañana,26-02-2026,Parcial_01,Parcial,2026-06-22,,,NO ENTREGO
A00395,Ignacio Castro,17,F,ignacio.castro395@alumnos.tup.edu.ar,A2,Mañana,2026-02-25,TP_02,TP,2026-04-13,2026-04-08,8.5,A TIEMPO
A00371,Valentino Perez,24,M,valentino.perez371@alumnos.tup.edu.ar,A1,MAÑANA,2026-02-14,Quiz_03,Quiz,2026-05-25,2026-05-24,5.1,A TIEMPO
A00493,Agustin Ruiz,24,F,agustin.ruiz493@alumnos.tup.edu.ar,C2,Noche,2026-03-04,Quiz_03,Quiz,2026-05-25,,,No entrego
A00354,Felipe Garcia,19,F,felipe.garcia354@alumnos.tup.edu.ar,B2,Tarde,2026-03-04,TP_04,TP,08/06/2026,2026-06-04,"4,3",A TIEMPO
A00366,Isabella Torres,23,F,isabella.torres366@alumnos.tup.edu.ar,C4,NOCHE,2026-02-20,TP_01,TP,16/03/2026,,,
A00582,Pilar Herrera,30,F,pilar.herrera582@alumnos.tup.edu.ar,B1,Tarde,11/03/2026,Quiz_03,Quiz,2026-05-25,2026-05-22,"7,9",A tiempo
A00274,  Delfina Cabrera ,18,M,delfina.cabrera274@alumnos.tup.edu.ar,A2,Mañana,25/02/2026,TP_02,TP,2026-04-13,2026-04-13,"4,7",a tiempo
A00507,Joaquin Herrera,22,Femenino,joaquin.herrera507@alumnos.tup.edu.ar,C2,Noche,27/02/2026,TP_03,TP,2026-05-11,2026-05-11,6.8,a tiempo
A00417,Santino Ramirez,28,F,santino.ramirez417@alumnos.tup.edu.ar,B2,Tarde,2026-03-07,TP_03,TP,2026-05-11,2026-05-11,5.4,A tiempo
A00612,Mia Rojas,28,M,mia.rojas612@alumnos.tup.edu.ar,B1,Tarde,2026-02-21,Quiz_01,Quiz,2026-03-30,26/03/2026,"6,9",A TIEMPO
A00296,Bautista Flores,17,Femenino,bautista.flores296@alumnos.tup.edu.ar,B2,TARDE,2026-03-08,TP_01,TP,16/03/2026,24/03/2026,6.7,TARDE
A00243,Ignacio Martinez,17,Masculino,ignacio.martinez243@alumnos.tup.edu.ar, c2 ,Noche,2026-03-03,Quiz_01,Quiz,2026-03-30,2026-03-27,7.7,A TIEMPO
A00371,Valentino Perez,24,M,valentino.perez371@alumnos.tup.edu.ar,A1,MAÑANA,2026-02-14,TP_03,TP,2026-05-11,,,NO ENTREGO
A00053,Renata Medina,17,F,renata.medina53@alumnos.tup.edu.ar,C4,Noche,21/02/2026,Quiz_03,Quiz,25/05/2026,,,NO ENTREGO
A00361,Agustin Martinez,23,femenino,agustin.martinez361@alumnos.tup.edu.ar,B2,Tarde,06/03/2026,Quiz_03,Quiz,25/05/2026,2026-05-22,6.9,A TIEMPO
A00482,Lucia Gonzalez,21,F,lucia.gonzalez482@alumnos.tup.edu.ar,A3,Mañana,2026-02-15,TP_01,TP,2026-03-16,14/03/2026,9.3,A TIEMPO
A00190,Bruno Benitez,18,F,bruno.benitez190@alumnos.tup.edu.ar,B2,TARDE,2026-03-11,Quiz_01,Quiz,2026-03-30,,,
A00553,Felipe Romero,28,Masculino,felipe.romero553@alumnos.tup.edu.ar,B1,Tarde,2026-02-14,TP_01,TP,2026-03-16,2026-03-13,"5,7",a tiempo
A00003,Mateo Benitez,25,F,mateo.benitez3@alumnos.tup.edu.ar,B2,Tarde,2026-02-22,Parcial_01,Parcial,2026-06-22,2026-06-21,9.0,a tiempo
A00548,Mateo Herrera,21,M,mateo.herrera548@alumnos.tup.edu.ar,C4,Noche,2026-02-17,TP_04,TP,2026-06-08,,,No entrego
A00122,Santino Rojas,23,F,santino.rojas122@alumnos.tup.edu.ar,C3,Noche,2026-02-22,TP_02,TP,2026-04-13,20/04/2026,"5,1",tarde
A00076,Maximo Flores,17,M,maximo.flores76@alumnos.tup.edu.ar,C1,Noche,2026-02-21,TP_04,TP,2026-06-08,03/06/2026,6.3,a tiempo
A00244,Agustin Sanchez,17,Masculino,agustin.sanchez244@alumnos.tup.edu.ar,A2,Mañana,2026-02-23,TP_04,TP,2026-06-08,2026-06-17,"5,4",Tarde
A00228,Joaquin Lopez,25,M,joaquin.lopez228@alumnos.tup.edu.ar,A1,Mañana,2026-02-25,TP_03,TP,11/05/2026,19/05/2026,3.3,Tarde
A00634,Lucia Lopez,17,Femenino,,A1,Mañana,25-02-2026,TP_02,TP,13/04/2026,,,no entregó
A00423,Sofia Romero,21,Masculino,sofia.romero423@alumnos.tup.edu.ar,B1,Tarde,2026-03-10,Quiz_01,Quiz,2026-03-30,27/03/2026,6.0,A TIEMPO
A00236,Valentino Silva,17,F,valentino.silva236@alumnos.tup.edu.ar,C2,Noche,2026-03-05,Quiz_03,Quiz,2026-05-25,,,no entregó
A00342,Valentina Fernandez,17,M,valentina.fernandez342@alumnos.tup.edu.ar,B2,Tarde,2026-03-08,Quiz_02,Quiz,2026-04-27,,,No entrego
A00273,Bautista Gonzalez,17,M,bautista.gonzalez273@alumnos.tup.edu.ar,C3,Noche,2026-03-10,Quiz_03,Quiz,2026-05-25,2026-05-20,6.9,A tiempo
A00440,Victoria Herrera,25,M,victoria.herrera440@alumnos.tup.edu.ar,A2,Mañana,2026-02-28,TP_03,TP,11/05/2026,,,NO ENTREGO
A00069,Bautista Acosta,27,M,bautista.acosta69@alumnos.tup.edu.ar,C3,Noche,2026-02-16,Quiz_01,Quiz,30-03-2026,2026-03-25,4.5,A TIEMPO
A00322,Federico Suarez,25,M,federico.suarez322@alumnos.tup.edu.ar,B2,Tarde,2026-03-03,Quiz_02,Quiz,27/04/2026,2026-04-27,6.2,A TIEMPO
A00613,Federico Ortiz,17,F,federico.ortiz613@alumnos.tup.edu.ar,C1,Noche,17/02/2026,TP_04,TP,2026-06-08,2026-06-13,"8,9",TARDE
A00123,Maximo Vega,25,M,maximo.vega123@alumnos.tup.edu.ar,B2,Tarde,2026-02-23,Quiz_03,Quiz,2026-05-25,,,
A00450,Gabriel Nuñez,27,F,gabriel.nuñez450@alumnos.tup.edu.ar,A2,Mañana,2026-03-11,TP_02,TP,2026-04-13,2026-04-23,6.9,tarde
A00213,Bautista Acosta,35,Masculino,bautista.acosta213@alumnos.tup.edu.ar,C3,Noche,2026-03-06,Quiz_01,Quiz,30/03/2026,2026-03-27,"6,8",A TIEMPO
A00551,gabriel diaz,26,M,gabriel.diaz551@alumnos.tup.edu.ar,C2,Noche,22-02-2026,Quiz_01,Quiz,30/03/2026,2026-03-30,9.6,A tiempo
A00029,Delfina Benitez,28,F,delfina.benitez29@alumnos.tup.edu.ar,C4,Noche,2026-03-10,Parcial_01,Parcial,2026-06-22,,,NO ENTREGO
A00060,Diego Luna,35,Femenino,diego.luna60@alumnos.tup.edu.ar,C3,Noche,2026-02-18,TP_03,TP,11/05/2026,2026-05-11,6.5,A tiempo
A00304,Agustin Sanchez,25,F,agustin.sanchez304@alumnos.tup.edu.ar,C3,Noche,2026-02-14,Quiz_02,Quiz,2026-04-27,25/04/2026,"7,3",A tiempo
A00014,Isabella Ruiz,25,Femenino,isabella.ruiz14@alumnos.tup.edu.ar,A1,Mañana,2026-03-09,TP_02,TP,2026-04-13,,,no entregó
A00463,Maximo Ortiz,19,F,maximo.ortiz463@alumnos.tup.edu.ar,A2,Mañana,03-03-2026,Quiz_03,Quiz,2026-05-25,29/05/2026,8.0,tarde
A00527,Gabriel Ruiz,27,Femenino,gabriel.ruiz527@alumnos.tup.edu.ar,B1,Tarde,19/02/2026,TP_02,TP,13-04-2026,,,
A00262,Joaquin Aguirre,23,Masculino,joaquin.aguirre262@alumnos.tup.edu.ar,C1,Noche,2026-03-01,Parcial_01,Parcial,2026-06-22,,,No entrego
A00266,Ignacio Silva,17,F,ignacio.silva266@alumnos.tup.edu.ar,C4,NOCHE,2026-02-26,TP_03,TP,2026-05-11,22/05/2026,0.0,Tarde
A00355,Maximo Nuñez,24,F,maximo.nuñez355@alumnos.tup.edu.ar,A3,Mañana,2026-03-10,TP_03,TP,2026-05-11,2026-05-07,6.1,A tiempo
A00522,Camila Torres,20,M,camila.torres522@alumnos.tup.edu.ar,B2,Tarde,26/02/2026,TP_03,TP,11-05-2026,,,No entrego
A00178,Ignacio Suarez,18,M,ignacio.suarez178@alumnos.tup.edu.ar,B1,Tarde,02/03/2026,Quiz_01,Quiz,2026-03-30,2026-04-09,"7,7",tarde
A00278,Mateo Alvarez,12,M,mateo.alvarez278@alumnos.tup.edu.ar,A3,Mañana,2026-02-22,Quiz_01,Quiz,30/03/2026,2026-03-27,8.8,a tiempo
A00204,Maximo Vega,17,femenino,maximo.vega204@alumnos.tup.edu.ar,A1,Mañana,2026-02-22,TP_02,TP,13/04/2026,10-04-2026,7.8,A TIEMPO
A00288,Lucas Acosta,26,F,lucas.acosta288@alumnos.tup.edu.ar,B1,Tarde,2026-03-05,TP_02,TP,2026-04-13,11/04/2026,6.0,a tiempo
A00409,Pilar Torres,23,M,pilar.torres409@alumnos.tup.edu.ar,A1,Mañana,2026-03-10,TP_03,TP,2026-05-11,2026-05-09,8.3,a tiempo
A00619,Benjamin Martinez,27,F,benjamin.martinez619@alumnos.tup.edu.ar,B2,Tarde,2026-02-19,TP_02,TP,2026-04-13,2026-04-08,7.9,A TIEMPO
A00210,Camila Acosta,30,M,camila.acosta210@alumnos.tup.edu.ar,A2,Mañana,2026-02-22,TP_02,TP,13/04/2026,2026-04-17,5.9,tarde
A00409,Pilar Torres,23,M,pilar.torres409@alumnos.tup.edu.ar,A1,Mañana,2026-03-10,Quiz_03,Quiz,2026-05-25,20-05-2026,8.5,a tiempo
A00251,Camila Benitez,19,F,camila.benitez251@alumnos.tup.edu.ar,C4,Noche,02/03/2026,TP_04,TP,08/06/2026,04/06/2026,7.9,A tiempo
A00042,Emma Garcia,28,Femenino,emma.garcia42@@alumnos.tup.edu.ar,A3,Mañana,23/02/2026,TP_04,TP,2026-06-08,2026-06-07,8.8,A TIEMPO
A00685,Joaquin Vega,17,M,joaquin.vega685@alumnos.tup.edu.ar,A3,Mañana,2026-03-03,TP_03,TP,2026-05-11,2026-05-06,6.3,a tiempo
A00483,Antonella Vega,33,Masculino,antonella.vega483@alumnos.tup.edu.ar,A3,Mañana,15-02-2026,TP_01,TP,16-03-2026,11-03-2026,6.1,A TIEMPO
A00667,Mora Sosa,20,F,mora.sosa667@alumnos.tup.edu.ar,C4,Noche,2026-02-23,Quiz_01,Quiz,30/03/2026,2026-03-30,8.8,A TIEMPO
A00657,Valentino Alvarez,23,F,valentino.alvarez657@alumnos.tup.edu.ar,A2,Mañana,2026-03-05,Quiz_02,Quiz,2026-04-27,,,no entregó
A00367,Antonella Vega,26,Masculino,antonella.vega367@alumnos.tup.edu.ar,C2,NOCHE,18/02/2026,TP_03,TP,2026-05-11,07/05/2026,8.6,a tiempo
A00031,Federico Ruiz,21,Femenino,federico.ruiz31@alumnos.tup.edu.ar,C1,Noche,27-02-2026,Quiz_03,Quiz,25/05/2026,2026-06-05,"6,4",tarde
A00342,Valentina Fernandez,17,M,valentina.fernandez342@alumnos.tup.edu.ar,B2,Tarde,08-03-2026,TP_01,TP,2026-03-16,2026-03-18,5.4,Tarde
A00604,Maximo Suarez,19,F,maximo.suarez604@alumnos.tup.edu.ar,A3,Mañana,2026-02-20,TP_02,TP,13/04/2026,,,NO ENTREGO
A00445,Paula Alvarez,22,Masculino,paula.alvarez445@alumnos.tup.edu.ar,B1,TARDE,06/03/2026,Quiz_03,Quiz,2026-05-25,,,NO ENTREGO
A00472,Mora Sanchez,27,Femenino,mora.sanchez472@alumnos.tup.edu.ar,C4,Noche,2026-02-19,TP_03,TP,2026-05-11,,,No entrego
A00678,Thiago Diaz,23,Masculino,thiago.diaz678@alumnos.tup.edu.ar,C4,Noche,2026-02-28,TP_01,TP,16/03/2026,2026-03-11,"4,2",A tiempo
A00247,  Joaquin Benitez ,25,M,joaquin.benitez247@alumnos.tup.edu.ar,A1,Mañana,10/03/2026,Quiz_02,Quiz,2026-04-27,22/04/2026,6.3,A tiempo
A00089,Maximo Silva,21,M,maximo.silva89@alumnos.tup.edu.ar,A1,Mañana,2026-02-17,Quiz_03,Quiz,2026-05-25,2026-05-22,5.9,A TIEMPO
A00565,Pilar Flores,20,M,pilar.flores565@alumnos.tup.edu.ar,C2,Noche,2026-02-18,TP_02,TP,2026-04-13,2026-04-08,"8,7",a tiempo
A00205,Benjamin Torres,19,F,benjamin.torres205@alumnos.tup.edu.ar,C4,NOCHE,04-03-2026,TP_01,TP,16-03-2026,2026-03-21,4.0,Tarde
A00313,Mia Torres,20,F,mia.torres313@alumnos.tup.edu.ar,A1,Mañana,2026-03-07,TP_03,TP,2026-05-11,06-05-2026,6.1,A tiempo
A00264,Antonella Molina,17,F,antonella.molina264@alumnos.tup.edu.ar,B1,Tarde,2026-03-03,Parcial_01,Parcial,2026-06-22,,,no entregó
A00249,Agustin Torres,21,F,agustin.torres249@alumnos.tup.edu.ar,C1,Noche,2026-02-16,TP_01,TP,16/03/2026,14/03/2026,6.4,a tiempo
A00334,Mateo Flores,17,Masculino,mateo.flores334@alumnos.tup.edu.ar,B2,Tarde,2026-02-24,TP_02,TP,2026-04-13,2026-04-08,4.8,A tiempo
A00027,Joaquin Sosa,22,M,joaquin.sosa27@alumnos.tup.edu.ar,A3,Mañana,2026-03-06,TP_01,TP,16-03-2026,2026-03-16,6.0,A TIEMPO
A00448,VICTORIA CASTRO,17,Masculino,victoria.castro448@alumnos.tup.edu.ar,C3,Noche,06/03/2026,Parcial_01,Parcial,22/06/2026,2026-06-26,5.9,TARDE
A00187,valentina medina,29,F,valentina.medina187@alumnos.tup.edu.ar,A1,Mañana,2026-02-19,Parcial_01,Parcial,22/06/2026,,,NO ENTREGO
A00159,Catalina Alvarez,17,femenino,catalina.alvarez159@alumnos.tup.edu.ar,A3,Mañana,2026-02-18,Quiz_02,Quiz,27/04/2026,2026-04-24,10.0,a tiempo
A00382,Olivia Diaz,18,M,olivia.diaz382@alumnos.tup.edu.ar,B1,Tarde,2026-03-07,TP_04,TP,08/06/2026,,,no entregó
A00430,Felipe Sanchez,25,femenino,felipe.sanchez430@alumnos.tup.edu.ar,C4,Noche,2026-02-26,Quiz_02,Quiz,2026-04-27,2026-05-04,4.3,tarde
A00646,Diego Luna,17,F,diego.luna646@alumnos.tup.edu.ar,A1,Mañana,2026-03-09,Parcial_01,Parcial,2026-06-22,,,
A00413,Mora Diaz,17,F,mora.diaz413@alumnos.tup.edu.ar,B1,Tarde,2026-02-20,TP_01,TP,2026-03-16,2026-03-19,7.2,Tarde
A00405,Camila Garcia,17,Masculino,camila.garcia405@alumnos.tup.edu.ar,B1,Tarde,2026-02-20,Quiz_03,Quiz,2026-05-25,2026-05-24,5.8,a tiempo
A00003,Mateo Benitez,25,F,mateo.benitez3@alumnos.tup.edu.ar,B2,Tarde,2026-02-22,Quiz_02,Quiz,2026-04-27,2026-04-27,6.2,a tiempo
A00107,Federico Suarez,27,F,federico.suarez107@alumnos.tup.edu.ar,C4,Noche,2026-03-08,TP_01,TP,16-03-2026,2026-03-12,"7,6",A tiempo
A00217,Mora Ramirez,27,M,mora.ramirez217@alumnos.tup.edu.ar,C1,Noche,2026-02-20,TP_04,TP,2026-06-08,18/06/2026,"6,8",TARDE
A00411,Martina Rodriguez,18,M,martina.rodriguez411@alumnos.tup.edu.ar,C1,Noche,2026-02-21,Quiz_01,Quiz,30/03/2026,,,NO ENTREGO
A00573,Lautaro Romero,22,Masculino,lautaro.romero573@alumnos.tup.edu.ar,C1,Noche,2026-03-11,TP_01,TP,2026-03-16,12/03/2026,9.2,A tiempo
A00549,Mateo Rodriguez,20,M,mateo.rodriguez549@alumnos.tup.edu.ar,A3,Mañana,2026-02-19,TP_02,TP,2026-04-13,11/04/2026,8.7,A tiempo
A00401,Diego Medina,26,M,diego.medina401@alumnos.tup.edu.ar,A1,Mañana,2026-03-04,TP_02,TP,13/04/2026,2026-04-08,8.6,a tiempo
A00504,Tomas Ruiz,22,M,tomas.ruiz504@alumnos.tup.edu.ar,A1,Mañana,2026-02-23,TP_01,TP,2026-03-16,,,no entregó
A00195,Joaquin Nuñez,23,F,joaquin.nuñez195@alumnos.tup.edu.ar,C3,Noche,04/03/2026,TP_01,TP,2026-03-16,2026-03-13,5.6,a tiempo
A00316,Martina Vega,25,M,martina.vega316@alumnos.tup.edu.ar,C2,Noche,2026-02-21,TP_03,TP,2026-05-11,18-05-2026,3.5,Tarde
A00119,Tomas Vega,21,Femenino,tomas.vega119@alumnos.tup.edu.ar,B2,Tarde,2026-03-09,Quiz_03,Quiz,2026-05-25,22/05/2026,8.3,A tiempo
A00396,Felipe Suarez,31,F,felipe.suarez396@alumnos.tup.edu.ar,A1,Mañana,22-02-2026,Quiz_02,Quiz,27/04/2026,2026-04-26,3.9,A tiempo
A00142,Pilar Medina,19,M,pilar.medina142@alumnos.tup.edu.ar,A1,Mañana,22/02/2026,TP_04,TP,2026-06-08,,,No entrego
A00074,Paula Garcia,21,M,paula.garcia74@alumnos.tup.edu.ar,A1,Mañana,2026-03-07,Parcial_01,Parcial,22-06-2026,,,NO ENTREGO
A00528,Santino Herrera,33,F,santino.herrera528@alumnos.tup.edu.ar,A3,Mañana,2026-03-01,Quiz_03,Quiz,2026-05-25,2026-05-21,6.0,A tiempo
A00572,Federico Gonzalez,12,M,,B2,Tarde,11-03-2026,Quiz_02,Quiz,27-04-2026,2026-04-22,"5,9",A tiempo
A00446,Federico Gonzalez,22,Masculino,federico.gonzalez446@alumnos.tup.edu.ar,A1,Mañana,2026-03-04,TP_03,TP,11/05/2026,2026-05-08,7.0,A tiempo
A00166,Camila Vega,18,M,camila.vega166@alumnos.tup.edu.ar,C1,Noche,2026-02-20,TP_04,TP,08/06/2026,,,
A00445,Paula Alvarez,22,Masculino,paula.alvarez445@alumnos.tup.edu.ar,B1,TARDE,2026-03-06,TP_04,TP,2026-06-08,,,no entregó
A00116,Bruno Rojas,17,X,bruno.rojas116@alumnos.tup.edu.ar,B1,Tarde,01-03-2026,Quiz_01,Quiz,2026-03-30,2026-03-27,"7,5",A TIEMPO
A00091,Martina Aguirre,17,M,martina.aguirre91@alumnos.tup.edu.ar, a1 ,Mañana,2026-02-14,Quiz_03,Quiz,2026-05-25,23/05/2026,5.7,A tiempo
